Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Пикша;73;17,2;0,5;0
Пикша, копченая;116;25,23;0,96;0
Пикша, приготовленная, приготовленная на жару;90;19,99;0,55;0
Пикша, сырая;74;16,32;0,45;0
Плотва сибирская (сорога);110;19;3,8;0
Полосатый тунец;103;22;1,01;0
Полосатый тунец, приготовленный на жару;132;28,21;1,29;0
Помпано флоридский, приготовленный на жару;211;23,69;12,14;0
Помпано флоридский, сырой;164;18,48;9,47;0
Пристипома;88;19,6;1,1;0
Псенопсис;92;14,6;3,7;0
Пузанок, приготовленный на жару;252;21,71;17,65;0
Пузанок, сырой;197;16,93;13,77;0
Путассу;82;18,5;0,9;0
Путассу, приготовленный на жару;116;23,48;1,69;0
Путассу, смешанные виды, сырой;90;18,31;1,31;0
Пыжьян;113;18;4,6;0
Радужная форель (Микижа), вареная, консервированная, (Аляска);159;21,11;8,26;0
Радужная форель (Микижа), сушеная, мясо (Shoshone Bannock);382;77,27;8,06;0
Рак речной, дикий;77;15,97;0,95;0
Рак речной, дикий, приготовленный на пару;82;16,77;1,2;0
Рак речной, фермерский;72;14,85;0,97;0
Рак речной, фермерский, приготовленный на пару;87;17,52;1,3;0
Раки морские (лангуст, омар);89;18,8;1,3;0,5
Раки морские (лангуст, омар) вареные;90;20,5;0,7;0,3
Раки речные;76;15,5;1;1,2
Раки речные вареные;97;20,3;1,3;1
Ручьевая форель, Нью-Йоркская;110;21,23;2,73;0
Рыба молочная;148;20,53;6,73;0
Рыба молочная, приготовленная на жару;190;26,32;8,63;0
Рыба фаршированная, в сладком соусе;84;9,07;1,73;7,41
Рыба-капитан;92;19,4;1,6;0
Рыба-лист;110;20,3;3,2;0
Рыба-луна с семенами тыквы, приготовленная на жару;114;24,87;0,9;0
Рыба-луна с семенами тыквы, сырая;89;19,4;0,7;0
Рыба-меч;144;19,66;6,65;0
Рыба-меч, приготовленная на жару;172;23,45;7,93;0
Рыба-сабля;106;19,3;3,2;0
Рыбец азово-черноморский холодного копчения;222;28,6;12;0
Рыбец, азово-черноморский;139;18,2;7,4;0
Рыбец, каспийский;98;19,2;2,4;0
Рыбные полуфабрикаты, замороженные, разогретые;277;11,01;16,23;20,16
Ряпушка сибирская, енисейская;149;17;9;0
Ряпушка сибирская, обская;107;19,2;3,3;0
Сазан;97;18,2;2,7;0
Сазан азовский;121;18,4;5,3;0
Сазан в томатном соусе. Консервы;143;12,4;8,7;3,5
Сайда;81;19,1;0,5;0
Сайда атлантическая, приготовленная на жару;118;24,92;1,26;0
Сайда атлантическая, сырая;92;19,44;0,98;0
Сайра;205;19,5;14,1;0
Сайра бланшированная в масле, консервы;283;18,3;23,3;0
Салака;125;17;6,3;0
Салака горячего копчения;152;25,4;5,6;0
Салат из окуня, по 1-80;182;4,7;15,7;5,5
Салат из тунца;187;16,04;9,26;9,41
Салилота (бротола);73;16,5;0,8;0
Сардина атлантическая, консервы в масле;208;24,62;11,45;0
Сардина океаническая;166;19;10;0
Сардина тихоокеанская, консервированная в томатном соусе;185;20,86;10,45;0,44
Сардины атлантические в масле, консервы;249;17,9;19,7;0
Сардины дальневосточные в масле, консервы;272;17,2;22,6;0
Сардины каспийские в масле, консервы;223;16;17,7;0
Севрюга;160;16,9;10,3;0
Севрюга в томатном соусе. Консервы;178;16;11,4;2,6
Севрюга припущенная, по 1-350;173;18,2;11,2;0
Сельдь атлантическая;158;17,96;9,04;0
Сельдь атлантическая жирная;248;17,7;19,5;0
Сельдь атлантическая нежирная;135;19,1;6,5;0
Сельдь атлантическая нежирная соленая;145;17;8,5;0
Сельдь атлантическая, копченая;217;24,58;12,37;0
Сельдь атлантическая, маринованная;262;14,19;18;9,64
Сельдь атлантическая, приготовленная на жару;203;23,03;11,59;0
Сельдь иваси соленая, специального посола;173;17,5;11,4;0
Сельдь иваси, крупная;234;19,5;17,3;0
Сельдь иваси, мелкая;131;21,5;5;0
Сельдь рубленая, по 1-98;136;10,3;9,7;2
Сельдь с луком, по 1-98;125;8,3;8,3;4,2
Сельдь тихоокеанская жирная;191;14;15;0
Сельдь тихоокеанская жирная соленая;224;17,4;17,1;0
Сельдь тихоокеанская жирная холодного копчения;225;20,3;16;0
Сельдь тихоокеанская нежирная;135;18;7;0
Сельдь тихоокеанская, приготовленная на жару;250;21,01;17,79;0
Сельдь тихоокеанская, сырая;195;16,39;13,88;0
Сельдь, тихоокеанская, высушенная на воздухе, упакована в масле, (Аляска);489;44,5;34,6;0
Семга соленая;202;22,5;12,5;0
Семга, наггетсы, готовые к употреблению, не разогретые;189;11,97;10,43;11,85
Серебрянка;84;8,3;5,6;0
Сериола;103;22,5;1,4;0
Сериола (желтохвост), приготовленная на жару;187;29,67;6,72;0
Сериолелла;160;19,4;9,2;0
Сиг;144;19;7,5;0
Сиг в томатном соусе, консервы;154;14,3;8,3;5,8
Сиг, байкальский;144;20,2;7;0
Сиг, копченый;177;16,36;11,9;0
Сиг, смесь видов, сырая, (Аляска);131;18,9;6,1;0
Сиг, сушеный, (Аляска);371;62,44;13,44;0
Сиг, сырой;98;18,99;1,91;0
Сиговые, чир, голова, глаза, щековина, мягкие кости, (Аляска);107;18,6;3,6;0
Скап океанический;164;18,7;9,9;0
Скат-лисица;110;24;1,6;0
Сквама;104;17,3;3,9;0
Скумбрия атлантическая;191;18;13,2;0
Скумбрия атлантическая в масле, консервы;278;13,1;25,1;0
Скумбрия атлантическая в масле. Консервы;318;14,4;28,9;0
Скумбрия атлантическая, приготовленная на жару;262;23,85;17,81;0
Скумбрия атлантическая, сырая;205;18,6;13,89;0
Скумбрия дальневосточная;239;19,3;18;0
Скумбрия дальневосточная в масле, консервы;220;19,5;15,8;0
Скумбрия курильская натуральная. Консервы;248;18,8;19,2;0
Скумбрия натуральная. Консервы;200;17,7;14,4;0
Скумбрия соленая;305;18,5;25,1;0
Скумбрия холодного копчения;150;23,4;6,4;0
Снеток солено-сушеный, полесский;264;46,3;8,8;0
Снеток солено-сушеный, псковский;159;32;3,4;0
Снэк, рыба;144;21,8;6,3;0
Солнечник, рыба;95;18,9;2,2;0
Сом;115;17,2;5,1;0
