Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Халва Глазированная [Яшкино];528;14,7;33;44
Халва Турецкая [Яшкино];490;13;30;43
Хрустящие Вафли с Варёной Сгущёнкой [Яшкино];530;5,5;28;64
Хрустящие Вафли с Халвой [Яшкино];500;7,5;26;59
Хрустящие Вафли Сливочные [Яшкино];530;5;29;63
Хрустящие Вафли Сливочные [Яшкино];530;5;29;63
Хрустящие Вафли со Вкусом Лимон-Лайм [Яшкино];540;4,5;30;62
Хрустящие Вафли со Сливочным Вкусом [Яшкино];540;5;29;64
Чио Рио [Яшкино];515;5;30;57,1
Чипсы Картофельные с Солью [Яшкино];510;6;32;50
Шантарель [Яшкино];420;1,5;12;76
Швейцарский Бисквитный Рулет Вишневый [Яшкино];370;5;13;57
Швейцарский Бисквитный Рулет Клубника со Сливками [Яшкино];370;5;13;58
Швейцарский Бисквитный Рулет с Вареной Сгущенкой [Яшкино];350;5;11;57
Шоколад Горький 75% [Яшкино];560;7,5;46;27
Шоколад Молочный с Фундуком и Изюмом [Яшкино];540;6,5;35;50
Шоколадный Батончик [Яшкино];447;2,6;16,5;73
Шоколадный Батончик Импульс [Яшкино];485;7,2;24,3;59,2
Шоколадный Батончик с Грушевой Начинкой [Яшкино];420;3;17;64
Щербет с Изюмом и Арахисом [Яшкино];400;5,5;8;77
Ярче Семечки в Мягкой Карамели [Яшкино];497;9,6;30,5;51,2
Яшкинская Картошка [Яшкино];537;6,3;31,7;56,7
