Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Сыр моцарелла, низкой влажности, тёртый, м.д.ж. 36% в сух. в-ве;304;23,63;19,72;8,06
Сыр моцарелла, обезжиренный;141;31,7;0;1,7
Сыр моцарелла, с низким содержанием соли, м.д.ж. 34% в сух. в-ве;280;27,5;17,1;3,1
Сыр мюнстер, м.д.ж. 36% в сух. в-ве;271;24,7;17,6;3,5
Сыр мюнстер, м.д.ж. 52% в сух. в-ве;368;23,41;30,04;1,12
Сыр нешатель, м.д.ж. 62% в сух. в-ве;253;9,15;22,78;3,59
Сыр нямунас, м.д.ж. 50% в сух. в-ве;334;21;27;0
Сыр пармезан, 20% жира, 20% белка, крошеный, м.д.ж. 40% в сух. в-ве;265;20;20;1,37
Сыр пармезан, 28,4% белка, крошеный, м.д.ж. 36% в сух. в-ве;420;28,42;27,84;13,91
Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве;392;35,75;25;3,22
Сыр пармезан, 38% белка, тертый, м.д.ж. 36% в сух. в-ве;415;37,86;27,34;3,41
Сыр пармезан, 41,6% белка, с низким содержанием соли, м.д.ж. 39% в сух. в-ве;451;41,6;29,99;3,7
Сыр пармезан, крошка для посыпки, обезжиренный, м.д.ж. 5% в сух. в-ве;370;40;5;40
Сыр пименто, острый плавленный сыр с перцем, м.д.ж. 51% в сух. в-ве;375;22,13;31,2;1,63
Сыр плавленный (мягкий спред) 22% жирности KRAFT VELVEETA, м.д.ж. 41% в сух. в-ве;303;16,3;22;9,8
Сыр плавленный (мягкий спред) американский, 21,2% жирности, м.д.ж. 41% в сух. в-ве;290;16,41;21,23;8,73
Сыр плавленный американский 31% жирности, с витамином D, м.д.ж. 51% в сух. в-ве;366;18,13;30,71;4,78
Сыр плавленный американский 32% жирности, м.д.ж. 53% в сух. в-ве;371;18,13;31,79;3,7
Сыр плавленный американский 7% жирности, м.д.ж. 17% в сух. в-ве;180;24,6;7;3,5
Сыр плавленный американский или чеддер, полужирный, 9% жирности, м.д.ж. 23% в сух. в-ве;176;13,41;8,88;10,71
Сыр плавленный сливочный (спред), 28,6% жирности, м.д.ж. 69% в сух. в-ве;295;7,1;28,6;3,5
