Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Груша Вильямс [Ашан];42;0,4;0;10,7
Груша Вяленая [Ашан];250;2,5;0,5;63
Груши Пакхам [Ашан];42;0,7;0,2;10,9
Гуляш из Говядины [Ашан];335;13,7;1;67,7
Гуляш из Говядины Фермерский [Ашан];220;14;18;0
"Гуляш из Свинины ""Фермерский"" [Ашан]";230;12;20;0
Гуляш из Телятины [Ашан];100;19,5;2,5;0
Декор из Шоколада [Ашан];513;7;27,6;55,5
Дениш с Мясной Начинкой [Ашан];340;9;20;37
Десерт Ванильный [Ашан];179;4,5;9,6;18,7
Десерт из Яблок с Бананами [Ашан];44;0;0;11
Десерт Кокосовый [Ашан];186;3,9;9,2;21,9
Десерт со Вкусом Ванили [Ашан];102;2,5;0,9;21,1
Десерт Фруктовый Яблоко-Клубника [Ашан];69;0,5;0,5;14
Десерт Шоколадный [Ашан];173;4,7;9,8;16,5
Десерт Яблочно-Банановый [Ашан];100;0,5;0;25
Джем Апельсиновый [Ашан];247;0,5;0,5;59,6
Джем Клубничный [Ашан];240;0;0;60
Джем Малина [Ашан];240;0;0;60
Дижонская Горчица [Ашан];152;7,5;11,5;3,6
Дижонская Горчица с Уксусом [Ашан];149;7,2;11,5;3,2
Дикий Рис [Ашан];335;13,7;1;67,7
Дикий Рис Цицания [Ашан];350;13;1;72
Донат с Шоколадной Глазурью [Ашан];441;6,7;28;41
Донат с Шоколадной Начинкой [Ашан];463;5,9;29;43
Донат с Ягодной Начинкой [Ашан];420;4;25;48
Донат Тутти Фрутти [Ашан];311;7;12;47
Дорадо [Ашан];96;19,7;1,9;0
Драники из Свеклы [Ашан];241;4,8;13,3;25,6
Драники Картофельные [Ашан];184;2,6;10,4;19,9
Дыня Тайская Сушеная [Ашан];341;7;10;82
Европейский Гарнир [Ашан];28;2;0,3;3,2
Ежевика Замороженная [Ашан];30;1,5;0,5;4,5
Жареха [Ашан];154;8,2;9,8;8,1
Жаркое по-Домашнему [Ашан];154;23;4,5;2,5
Жерех Х/К [Ашан];191;32;7;0
Жульен [Ашан];238;18;12;16
Жульен из Курицы [Ашан];276;34;5,9;1,7
Жульен с Грибами и Курицей [Ашан];670;32;48;12
Запеканка Творожная [Ашан];240;8,4;6,8;38,6
Запеканка Творожная с Ароматом Ванили [Ашан];190;13;9;14
Запеканка Творожная с Изюмом [Ашан];239;13,9;8;27
Запеканка Творожная с Курагой [Ашан];236;14,4;8;25,9
Запеканка Творожная Черника [Ашан];180;12;8;15
Запечённая Цветная Капуста [Ашан];115;6,3;8,5;3,4
Заправка для Салата Оливковая с Травами [Ашан];100;1;5;12
Заправка для Салата Цезарь [Ашан];270;2;24;12
Звездочки Глазированные [Ашан];391;6,1;1,1;90
Зеленая Спаржа Мини в Банке [Ашан];27;2,1;0;3,1
Зерна Кунжута [Ашан];549;21,2;45,1;6,1
Зефир Ананасовый [Ашан];342;5,3;0,2;80
Зефир в Глазури [Ашан];370;2;9;71
Зефир Ванильный [Ашан];303;0,9;0,1;82,9
Зефир Жизель с Начинкой [Ашан];261;0,7;0;64,2
Зефир Клубничный [Ашан];342;5,3;0,2;80
Зефир Крем-Брюле [Ашан];303;0,9;0,1;82,9
Зефир с Печеньем в Шоколаде [Ашан];350;2;7;85,5
Зефир Яблочный [Ашан];298;0,3;0,1;68,9
Зефирные Палочки [Ашан];396;2,7;12,4;68,6
Злаковые Хлопья с Шоколадом и Ванилью [Ашан];397;7,4;5,3;77
Злаковый Батончик Crousty [Ашан];419;7,7;13,3;64,9
Золотые Завитки Слоеные с Корицей [Ашан];490;7;24;62
Зубатка [Ашан];126;19,6;5,3;0
Изделие Хлебобулочное Чемпион [Ашан];298;13;9,7;39,8
Изделия Булочные Сырные [Ашан];350;0,3;0,8;85,9
Изюм Желтый Мелкий [Ашан];226;4,8;0,5;60,7
Изюм Чёрный Мелкий [Ашан];290;2,5;0,4;70
Икра Баклажанная [Ашан];45;1,5;1;7,6
Икра из Баклажанов по-Домашнему [Ашан];41;1;1;7
Икра из Кабачков по-Домашнему [Ашан];41;1;1;7
Икра Минтая [Ашан];130;28;2;0
Икра Мойвы [Ашан];486;5;50;4
Икра Мойвы в Сырном Соусе [Ашан];364;4,5;37,2;2,8
Икра Мойвы Пробойная [Ашан];57;10;3;0
Икра Мойвы с Копченым Лососем в Соусе [Ашан];400;5;40;4
Икра Палтуса [Ашан];107;20;3;0
Икра Трески Весовая [Ашан];130;28;2;0
Имбирь в Сахаре [Ашан];296;0,9;0,3;53,7
Имбирь Маринованный [Ашан];30;2,2;0;3
Императорская Смесь [Ашан];23;1,9;0,3;5,7
Индейка в Брусничном Соусе [Ашан];235;16,7;14;10,5
Инжир [Ашан];49;0,7;0,2;13,7
Инжир Сушеный [Ашан];248;4;1,2;55,3
Инжир Сушеный Отборный [Ашан];280;5;1;65
Йогурт 0,1% [Ашан];37;4,3;0,1;4,7
Йогурт 0% [Ашан];38;4,4;0,1;5,2
